                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.59275,                 0.5089,                0.85959,                 1.0397,                0.99199,                0.99061,                0.99495,                0.84423,                0.99199,                0.99061,                0.99495,                0.96978,                0.61097,                0.27711,                0.59896,                 1.0255,              0.0006651,              0.0006651,              0.0006651
                      2,                0.72153,                0.44958,                0.69158,                 1.0878,                0.99636,                0.99061,                  0.995,                0.83881,                0.99636,                0.99061,                  0.995,                0.97898,                 0.6255,                0.28205,                0.51111,                 1.0754,              0.0013186,              0.0013186,              0.0013186
                      3,                0.74109,                0.49029,                0.64566,                 1.0775,                0.96308,                0.99061,                0.98375,                0.86124,                0.96116,                0.98592,                0.97607,                0.92776,                0.55029,                 0.5665,                  0.509,                 0.9701,              0.0019589,              0.0019589,              0.0019589
                      4,                 0.6447,                0.40583,                0.56416,                 1.0351,                0.99469,                0.99061,                0.99495,                0.91826,                0.99469,                0.99061,                0.99495,                 0.9868,                0.41826,                0.24231,                0.37012,                0.89399,              0.0019406,              0.0019406,              0.0019406
                      5,                0.58592,                0.42056,                0.52267,                0.99768,                0.98958,                      1,                  0.995,                0.93748,                0.98958,                      1,                  0.995,                0.99214,                0.36958,                0.21758,                 0.3326,                0.85365,              0.0019406,              0.0019406,              0.0019406
                      6,                0.50022,                0.32415,                0.48345,                0.96406,                0.99946,                      1,                  0.995,                 0.9555,                0.99946,                      1,                  0.995,                0.98541,                0.35874,                0.22913,                 0.3433,                0.85614,              0.0019208,              0.0019208,              0.0019208
                      7,                0.48841,                0.30114,                0.44399,                0.95932,                0.99902,                      1,                  0.995,                0.95101,                0.99902,                      1,                  0.995,                0.99404,                0.31226,                0.20899,                0.31804,                0.82758,               0.001901,               0.001901,               0.001901
                      8,                 0.4566,                0.26777,                0.40095,                0.94548,                0.99939,                      1,                  0.995,                0.96292,                0.99939,                      1,                  0.995,                0.99355,                0.30709,                0.20239,                0.27041,                0.82207,              0.0018812,              0.0018812,              0.0018812
                      9,                0.47728,                0.30298,                0.41796,                0.93665,                0.99867,                      1,                  0.995,                0.96102,                0.99867,                      1,                  0.995,                0.99209,                0.31812,                0.21037,                0.28193,                0.83932,              0.0018614,              0.0018614,              0.0018614
                     10,                0.40582,                0.26219,                0.36269,                0.91515,                0.99069,                      1,                  0.995,                0.98303,                0.99069,                      1,                  0.995,                0.99372,                0.26062,                0.19129,                0.26131,                 0.8057,              0.0018416,              0.0018416,              0.0018416
                     11,                0.38039,                0.25839,                0.34958,                0.90055,                0.99956,                      1,                  0.995,                0.97006,                0.99956,                      1,                  0.995,                0.99072,                0.27492,                0.17064,                0.23944,                0.81564,              0.0018218,              0.0018218,              0.0018218
                     12,                0.39062,                0.28536,                0.34932,                0.91189,                0.99469,                      1,                  0.995,                0.97281,                0.99469,                      1,                  0.995,                0.99043,                0.25052,                0.20265,                0.24256,                0.80837,               0.001802,               0.001802,               0.001802
                     13,                0.37824,                0.29331,                0.39359,                0.90145,                 0.9798,                      1,                0.99438,                0.97598,                 0.9798,                      1,                0.99438,                0.99406,                0.24951,                0.16445,                0.27475,                0.80387,              0.0017822,              0.0017822,              0.0017822
                     14,                0.37126,                 0.2674,                0.34732,                0.90403,                0.99971,                      1,                  0.995,                0.98058,                0.99971,                      1,                  0.995,                0.99485,                0.25604,                0.17332,                0.24219,                0.80169,              0.0017624,              0.0017624,              0.0017624
                     15,                0.36733,                 0.2316,                0.32305,                0.89622,                0.99914,                      1,                  0.995,                0.97737,                0.99914,                      1,                  0.995,                  0.993,                0.24975,                0.17453,                0.21273,                0.80313,              0.0017426,              0.0017426,              0.0017426
                     16,                0.34926,                0.22826,                0.31058,                0.89383,                0.99971,                      1,                  0.995,                0.98975,                0.99971,                      1,                  0.995,                0.99493,                0.24071,                0.15756,                0.21832,                0.79796,              0.0017228,              0.0017228,              0.0017228
                     17,                0.34878,                0.24799,                0.31144,                0.90011,                0.99911,                      1,                  0.995,                0.98544,                0.99911,                      1,                  0.995,                0.99486,                 0.2305,                0.17571,                0.20936,                0.78917,               0.001703,               0.001703,               0.001703
                     18,                0.35443,                0.26563,                0.31661,                0.89181,                0.99973,                      1,                  0.995,                0.98641,                0.99973,                      1,                  0.995,                  0.995,                0.23039,                0.15961,                0.20341,                0.80451,              0.0016832,              0.0016832,              0.0016832
                     19,                0.33214,                0.23267,                0.29446,                0.87904,                0.99963,                      1,                  0.995,                0.98627,                0.99963,                      1,                  0.995,                0.99469,                0.21576,                0.16638,                0.19185,                0.78902,              0.0016634,              0.0016634,              0.0016634
                     20,                0.33055,                0.22441,                0.29504,                0.88756,                0.99971,                      1,                  0.995,                0.98513,                0.99971,                      1,                  0.995,                0.99474,                0.21506,                0.15727,                0.19533,                0.78679,              0.0016436,              0.0016436,              0.0016436
                     21,                0.32402,                0.21964,                0.27998,                0.88241,                0.99961,                      1,                  0.995,                0.98882,                0.99961,                      1,                  0.995,                  0.995,                0.23071,                0.15022,                0.20075,                0.78974,              0.0016238,              0.0016238,              0.0016238
                     22,                0.31467,                0.21759,                0.27874,                0.87719,                0.99922,                      1,                  0.995,                0.98385,                0.99922,                      1,                  0.995,                  0.995,                0.21763,                0.16571,                0.20117,                0.79196,               0.001604,               0.001604,               0.001604
